##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	Fnotti_USPD16092508-N705-AK390_HV3JCCCXY_L7_1.fq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	104172552
Sequences flagged as poor quality	0
Sequence length	150
%GC	41
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	30.934084325782862	32.0	32.0	32.0	32.0	32.0
2	31.55003463868294	32.0	32.0	32.0	32.0	32.0
3	35.20453251447656	37.0	32.0	37.0	32.0	37.0
4	36.07438218466607	37.0	37.0	37.0	32.0	37.0
5	36.236899428171824	37.0	37.0	37.0	37.0	37.0
6	39.75379489599141	41.0	41.0	41.0	37.0	41.0
7	40.00265766744391	41.0	41.0	41.0	37.0	41.0
8	40.01318343434651	41.0	41.0	41.0	37.0	41.0
9	40.07548972209109	41.0	41.0	41.0	37.0	41.0
10-14	40.052413307490056	41.0	41.0	41.0	37.0	41.0
15-19	40.02790423911281	41.0	41.0	41.0	37.0	41.0
20-24	39.972518895380425	41.0	41.0	41.0	37.0	41.0
25-29	39.85389341714505	41.0	41.0	41.0	37.0	41.0
30-34	39.76030360665447	41.0	41.0	41.0	37.0	41.0
35-39	39.678224630610956	41.0	41.0	41.0	37.0	41.0
40-44	39.61228122548059	41.0	41.0	41.0	37.0	41.0
45-49	39.52744954352275	41.0	41.0	41.0	37.0	41.0
50-54	39.47300761336825	41.0	41.0	41.0	37.0	41.0
55-59	39.39582558753097	41.0	41.0	41.0	37.0	41.0
60-64	39.36055755070683	41.0	41.0	41.0	37.0	41.0
65-69	39.28115069697054	41.0	41.0	41.0	37.0	41.0
70-74	39.204367453722355	41.0	41.0	41.0	37.0	41.0
75-79	38.771711794100995	41.0	40.2	41.0	34.0	41.0
80-84	39.08304339323472	41.0	41.0	41.0	37.0	41.0
85-89	39.00149442244633	41.0	41.0	41.0	37.0	41.0
90-94	38.9219199314614	41.0	41.0	41.0	32.0	41.0
95-99	38.83057836194702	41.0	41.0	41.0	32.0	41.0
100-104	38.734969622324314	41.0	41.0	41.0	32.0	41.0
105-109	38.668033205138336	41.0	41.0	41.0	32.0	41.0
110-114	38.58790659750757	41.0	41.0	41.0	32.0	41.0
115-119	38.45615154172282	41.0	41.0	41.0	32.0	41.0
120-124	38.2899081650606	41.0	41.0	41.0	32.0	41.0
125-129	38.17017758574255	41.0	40.2	41.0	32.0	41.0
130-134	37.977126775198904	41.0	37.0	41.0	31.0	41.0
135-139	37.765318455479516	41.0	37.0	41.0	27.0	41.0
140-144	37.40899411007997	41.0	37.0	41.0	27.0	41.0
145-149	37.1006219219819	41.0	37.0	41.0	27.0	41.0
150	36.91862953496618	41.0	37.0	41.0	27.0	41.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1105	50-54	0.18050086156248568
1105	55-59	0.31098910359839493
1105	60-64	0.2995630297942071
1105	65-69	0.2621911115654427
1105	70-74	0.22300726491831568
1105	75-79	0.09096873938671024
1105	80-84	0.16094144509137465
1105	85-89	0.32263754929251576
1105	90-94	0.16702129902472507
1105	95-99	0.3824433669289391
1105	100-104	0.2633682158160724
1105	105-109	0.36303314430303857
1105	110-114	0.453961295293027
1105	115-119	0.6009102583970076
1105	120-124	0.6713839768548624
1105	125-129	0.7436213213303091
1105	130-134	0.49058138054594735
1105	135-139	0.3894812288575551
1105	140-144	0.5003932717843824
1105	145-149	0.33319619710420767
1105	150	0.5030972125784103
1106	1	0.3833000907034503
1106	2	0.013512226257752502
1106	3	0.5473137525835625
1106	4	0.26371361394613047
1106	5	0.16741994501629875
1106	6	0.3876923788505806
1106	7	0.10517109378383793
1106	8	0.07280246535837165
1106	9	-0.07394653642210613
1106	10-14	0.13877880332018577
1106	15-19	0.12971437665144236
1106	20-24	-0.04727902024461628
1106	25-29	0.07661669994533327
1106	30-34	0.049272713018964964
1106	35-39	0.09640533884919478
1106	40-44	0.07779560863162516
1106	45-49	-0.11995412384043647
1106	50-54	-0.1573480087985999
1106	55-59	0.16148985543666328
1106	60-64	-0.15706946868211702
1106	65-69	0.11428338202774313
1106	70-74	0.01643704248240141
1106	75-79	-0.49896082103023787
1106	80-84	-0.4418562393967278
1106	85-89	-0.3030261144607991
1106	90-94	-0.6082211918901947
1106	95-99	-0.7181958931023971
1106	100-104	-1.1395952484468097
1106	105-109	-0.9754429769322073
1106	110-114	-0.8036608298504859
1106	115-119	-0.32025132432298875
1106	120-124	-0.2069996862568928
1106	125-129	-0.09998729639399784
1106	130-134	-0.2779396761052837
1106	135-139	-0.5793695971473909
1106	140-144	-1.5502421109338798
1106	145-149	-1.799113706745402
1106	150	-1.7247722383709743
1107	1	0.45732480654922725
1107	2	0.037562662648817025
1107	3	0.34681519516669823
1107	4	0.10128222589941771
1107	5	0.15231022557254192
1107	6	0.3129540460374045
1107	7	0.11755095672543803
1107	8	0.21014655156968587
1107	9	0.16181563589165648
1107	10-14	0.2446938649068855
1107	15-19	0.26589388609038167
1107	20-24	0.18427919665658976
1107	25-29	0.13743820970054088
1107	30-34	0.2395088820525686
1107	35-39	0.2799528409594245
1107	40-44	0.23672853233223634
1107	45-49	0.28653596951391336
1107	50-54	0.37245559460709643
1107	55-59	0.46450569774328443
1107	60-64	0.4108081690987504
1107	65-69	0.44087819611985424
1107	70-74	0.542922966967943
1107	75-79	0.6051149986946811
1107	80-84	0.4438499307330517
1107	85-89	0.6253074005508807
1107	90-94	0.561851332440078
1107	95-99	0.6379593155530685
1107	100-104	0.5959206511560353
1107	105-109	0.44167921074384964
1107	110-114	0.5120288934575967
1107	115-119	0.7295638185293285
1107	120-124	0.8873510929105848
1107	125-129	0.8079816934170125
1107	130-134	0.8676918718213642
1107	135-139	0.8291778213839436
1107	140-144	0.749697705862097
1107	145-149	0.7074569593825686
1107	150	0.9546093101412936
1108	1	0.32542098912615103
1108	2	0.04979328061473254
1108	3	0.6826026726664978
1108	4	-0.15613473476489048
1108	5	0.129665716405178
1108	6	0.31635553221678947
1108	7	0.3128505550960341
1108	8	0.0947648612995522
1108	9	0.2127183438148137
1108	10-14	0.15329162052049838
1108	15-19	0.2685735640768385
1108	20-24	0.22437184985659542
1108	25-29	0.2526833723489048
1108	30-34	0.24879556082039755
1108	35-39	0.3666817360971564
1108	40-44	0.313913945411052
1108	45-49	0.3136644897811607
1108	50-54	0.4233399361153687
1108	55-59	0.31340910216148643
1108	60-64	0.34577913775524394
1108	65-69	0.34682605933312516
1108	70-74	0.2664503214416385
1108	75-79	0.31244387344670344
1108	80-84	0.4288283942759179
1108	85-89	0.501130961369384
1108	90-94	0.49947549625223786
1108	95-99	0.34030138744414273
1108	100-104	0.4459592508634955
1108	105-109	0.48243040638553225
1108	110-114	0.5095833986464768
1108	115-119	0.400658823970403
1108	120-124	0.39955973777325937
1108	125-129	0.42576633443524514
1108	130-134	0.6897174707134113
1108	135-139	0.37539945599732505
1108	140-144	0.17857073308366012
1108	145-149	0.012455395010952941
1108	150	0.08901068802008183
1109	1	-0.5238198728229051
1109	2	-0.1191421087002098
1109	3	-0.17838239567303305
1109	4	-0.13308230886978123
1109	5	0.01479746150648964
1109	6	0.07187669140465403
1109	7	-0.1639165088770227
1109	8	0.12304510398053026
1109	9	-0.008879427207624246
1109	10-14	0.025940749862243706
1109	15-19	0.012434473644788113
1109	20-24	0.14171683761215803
1109	25-29	0.16636649015002547
1109	30-34	0.24757786678413396
1109	35-39	0.02596812622264366
1109	40-44	0.08229835404689112
1109	45-49	0.0453918696347273
1109	50-54	-0.1769620138187804
1109	55-59	-0.3573293715815069
1109	60-64	-0.08851798741056882
1109	65-69	-9.929014719674E-4
1109	70-74	-0.2422674068283044
1109	75-79	-0.7846602731360051
1109	80-84	-0.5298100451266734
1109	85-89	-0.8458533062040843
1109	90-94	-0.429273844014304
1109	95-99	-0.3311322369603573
1109	100-104	0.03257069172495619
1109	105-109	-0.17504420837013157
1109	110-114	-0.24825963530140172
1109	115-119	0.08869050264705436
1109	120-124	-0.04935419867697277
1109	125-129	-0.25257753987187925
1109	130-134	-0.10297194053458014
1109	135-139	0.3820901151001195
1109	140-144	0.1755526914655121
1109	145-149	-0.018445252179404292
1109	150	-0.051067089520763886
1110	1	0.263451839115838
1110	2	0.09293046198370547
1110	3	0.5888429180238219
1110	4	0.16771396138968697
1110	5	0.23055901468364937
1110	6	0.30830847438799225
1110	7	0.24225062695225574
1110	8	0.27231279518173324
1110	9	0.12894373253158875
1110	10-14	0.21457268211991476
1110	15-19	0.2190199245203317
1110	20-24	0.2168965914152139
1110	25-29	0.23606870790217727
1110	30-34	0.27889559852048507
1110	35-39	0.29951514352621444
1110	40-44	0.3381633201877676
1110	45-49	0.29599284897176403
1110	50-54	0.2501370802319016
1110	55-59	0.1816039682904531
1110	60-64	0.23043867036964372
1110	65-69	0.38101192816042584
1110	70-74	0.33753954753149884
1110	75-79	0.19366663942119544
1110	80-84	0.5418206046197938
1110	85-89	0.5815790407722687
1110	90-94	0.6362893437395059
1110	95-99	0.4377769254005841
1110	100-104	0.3533436316825629
1110	105-109	0.25489705621757963
1110	110-114	0.10539951283973181
1110	115-119	0.5693084814097702
1110	120-124	0.61203967820272
1110	125-129	0.4771548597523321
1110	130-134	0.5387902446858064
1110	135-139	0.6344511329422815
1110	140-144	0.5916828271025949
1110	145-149	0.44465711143086395
1110	150	0.4413576587816479
1111	1	0.31321067365012567
1111	2	0.025283432106707693
1111	3	0.48747811561755583
1111	4	0.13374749952478737
1111	5	0.1626969865428478
1111	6	0.3064864932949831
1111	7	0.25705161265305776
1111	8	0.28906922774118726
1111	9	0.2603735326809229
1111	10-14	0.22935743732774938
1111	15-19	0.23487879044289883
1111	20-24	0.277869343463216
1111	25-29	0.27147763494866695
1111	30-34	0.2512797082103333
1111	35-39	0.11020381078434838
1111	40-44	0.22851524354280883
1111	45-49	0.2972427229821406
1111	50-54	0.33977150654487787
1111	55-59	0.34383153040047887
1111	60-64	0.3916330092073963
1111	65-69	0.3997940694209703
1111	70-74	0.24235590921065864
1111	75-79	0.22978462665074773
1111	80-84	0.24861651466230228
1111	85-89	0.23849380632598383
1111	90-94	0.37634771816345847
1111	95-99	0.4138580005091228
1111	100-104	0.35900452227978974
1111	105-109	0.19883802293448127
1111	110-114	0.4851388832922723
1111	115-119	0.45857615860606415
1111	120-124	0.3995622980580933
1111	125-129	0.37278504232470056
1111	130-134	0.5189110619171018
1111	135-139	0.4768119765420167
1111	140-144	0.3507003048717934
1111	145-149	0.045822150677054196
1111	150	0.31229533568240697
1112	1	0.33800931053325556
1112	2	0.020413023178164735
1112	3	0.5494960323332094
1112	4	0.2271811701457338
1112	5	0.18496683561205884
1112	6	0.34527634350295244
1112	7	0.3167245397968017
1112	8	0.26347047359227815
1112	9	0.240777586738794
1112	10-14	0.289726026963379
1112	15-19	0.3429423012924815
1112	20-24	0.30056152101438016
1112	25-29	0.3507517237103457
1112	30-34	0.3473027010824552
1112	35-39	0.4431290029982975
1112	40-44	0.43098960360655525
1112	45-49	0.45774490998020667
1112	50-54	0.4705575979891492
1112	55-59	0.5290522175961812
1112	60-64	0.4229648015982903
1112	65-69	0.5363233588090495
1112	70-74	0.5736681645492823
1112	75-79	0.7339387603020029
1112	80-84	0.5867615878154169
1112	85-89	0.6172703413482736
1112	90-94	0.5947823938885932
1112	95-99	0.6008570592969562
1112	100-104	0.666613334859484
1112	105-109	0.7340492893157773
1112	110-114	0.7563476139858523
1112	115-119	0.854360675568202
1112	120-124	0.8641747092367709
1112	125-129	0.7635504818659911
1112	130-134	0.886428028619143
1112	135-139	0.792655461065479
1112	140-144	0.6532278539627043
1112	145-149	0.843643204317452
1112	150	0.8954512454885943
1113	1	0.15152555799079082
1113	2	0.018367464990632243
1113	3	0.20984758947344773
1113	4	-0.03618656875345039
1113	5	-0.27472677208233875
1113	6	-0.07648952101146023
1113	7	-0.3252853463357894
1113	8	-0.42376209730565506
1113	9	-0.146428676572242
1113	10-14	-0.09066927247634027
1113	15-19	-0.16448980198168073
1113	20-24	-0.07318666814564523
1113	25-29	0.061796904507183115
1113	30-34	-0.36662393058678333
1113	35-39	-0.2630714186077867
1113	40-44	-0.012998321977271132
1113	45-49	0.10325278805277094
1113	50-54	-0.09840596340963259
1113	55-59	-0.19545677046311738
1113	60-64	-0.13136918535541042
1113	65-69	0.18825036485046098
1113	70-74	0.07333178335569102
1113	75-79	0.18950368581954535
1113	80-84	-0.47870532222439977
1113	85-89	-0.8930207040158749
1113	90-94	-0.42350508542518384
1113	95-99	-0.29403986417237604
1113	100-104	-0.0693371538518619
1113	105-109	-0.28925296472624495
1113	110-114	-0.05779187504089833
1113	115-119	-0.12301491105648665
1113	120-124	-0.3537165317389537
1113	125-129	-0.14341018549902884
1113	130-134	-0.3646364737144481
1113	135-139	-0.27785118948855114
1113	140-144	-0.7679052946402081
1113	145-149	-0.5522917870981701
1113	150	-0.3732955295793161
1114	1	0.3228433917025697
1114	2	0.013867694374471995
1114	3	0.4636651060109216
1114	4	0.20261250487747873
